atomic #	en	de	lb	nl	af	fy	da	sv	no	is	fo	la	fr	es	ca	oc	pt	gl	it	fur	ro	mo	arm	ru	uk	by	pl	kas	cs	sk	sl	hr	sr	bos	mk	bg	lt	lo	sud	cy	ga	gd	gv	kw	br	el	sq	oss	eu	ka	fi	et	hu	tr	kk	uz	tg	mn	ja	zh	th	vi	ms	ar	mt	he	eo											
99	Einsteinium	Einsteinium	Einsteinium	Einsteinium	Einsteinium	Einsteinium	Einsteinium	Einsteinium	Einsteinium	Einsteinín	Einsteinium	Einsteinium	Einsteinium	Einstenio	Einsteini	Einsteini	Einstânio	Einstenio	Einstenio	Einsteni	Einsteiniu (mo: Einstainiu)	Einsteiniu (mo: Einstainiu)	Einshteniumu	Эйнштейний	Ейнштейній	Эйнштэйній	Einstein	Einstein	Einsteinium	Einsteinium	Ajnštajnij	Einsteinij	Аjнштаjниjум	Einsteinij	Ајнштајниум	Айнштайний	Einšteinis	Einšteinijs	Einstainis	Einsteiniwm	Éinstéiniam	Einstèiniam	Einsteinium	Eynsteynyum	Einsteiniom	Αινστανιο	Ajnshtajnium	Эйнштейний	Einstenioa	ეინშტეინიუმი	Einsteinium	Einsteinium	Einsteinium	Eınsteınyum	Эйнштейний	Эйнштейний	E'nshte'ni'	Эйнштейни	アインスタイニウム [ainsutainiumu]	鎄	ไอน์สไตเนียม	Ensteni	Einsteinium	انيشتنيوم	Ejnstenjum	אינשטייניום	Ejnstejnio
100	Fermium	Fermium	Fermium	Fermium	Fermium	Fermium	Fermium	Fermium	Fermium	Fermín	Fermium	Fermium	Fermium	Fermio	Fermi	Fermi	Férmio	Fermio	Fermio	Fermi	Fermiu	Fermiu	Fermiumu	Фермий	Фермій	Фермій	Ferm	Ferm	Fermium	Fermium	Fermij	Fermij	Фермиjум	Fermij	Фермиум	Фермий	Fermis	Fermijs	Fermijan	Ffermiwm	Fearmiam	Feirmiam	Fermium	Fermyum	Fermiom	Φερμιο	Fermium	Фермий	Fermioa	ფერმიუმი	Fermium	Fermium	Fermium	Fermiyum	Фермий	Фермий	Fermi'	Ферми	フェルミウム [ferumiumu]	鐨	เฟอร์เมียม	Fecmi	Fermium	فرميوم	Fermjum	פרמיום	Fermio
101	Mendelevium	Mendelevium	Mendelevium	Mendelevium	Mendelevium	Mendelevium	Mendelevium	Mendelevium	Mendelevium	Mendelevín	Mendelevium	Mendelevium	Mendélévium	Mendelevio	Mendelevi	Mendelevi	Mendelévio	Mendelevio	Mendelevio	Mendelevi	Mendeleviu (mo: Mendeleeviu)	Mendeleviu (mo: Mendeleeviu)	Mendeleviumu	Менделевий	Менделєвій	Мендзялевій	Mendelew	Mendeléw	Mendelevium	Mendelevium	Mendelevij	Mendelevij	Мендеšевиjум	Mendelevij	Менделевиум	Менделевий	Mendelevis	ºMendelevijs	Mendelvis	Mendelefiwm	Meindiléiviam	Meindilèiviam	Mendelevium	Mendelevyum	Mendeleviom	Μεντελεβιο	Mendelevium	Менделевий	Mendelebioa	მენდელეევიუმი	Mendelevium	Mendeleevium	Mendelévium	Mendelevyum	Менделевий	Менделеевий	Mendelevi'	Менделеви	メンデレビウム [menderebiumu]	鍆	เมนเดลีเวียม	Menđelevi	Mendelevium	مندلفيوم	Mendelevjum	מנדלביום	Mendelevio
102	Nobelium	Nobelium	Nobelium	Nobelium	Nobelium	Nobelium	Nobelium	Nobelium	Nobelium	Nóbelín	Nobelium	Nobelium	Nobélium	Nobelio	Nobeli	Nobeli	Nobélio	Nobelio	Nobelio	Nobeli	Nobeliu	Nobeliu	Nobeliumu	Нобелий	Нобелій	Нобелій	Nobel	Nobel	Nobelium	Nobelium	Nobelij	Nobelij	Нобелиjум	Nobelij	Нобелиум	Нобелий	Nobelis	ºNobelijs	Nābelis	Nobeliwm	Nóbailiam	Nòbailiam	Nobelium	Nobelyum	Nobeliom	Νομπελιο	Nobelium	Нобелий	Nobelioa	ნობელიუმი	Nobelium	Nobeelium	Nobélium	Nobelyum	Нобелий	Нобелий	Nobeli'	Нобели	ノーベリウム [nooberiumu]	鍩	โนเบเลียม	Nobeli	Nobelium	نوبليوم	Nobeljum	נובליום	Nobelio
103	Lawrencium	Lawrencium	Lawrencium	Lawrencium	Lawrencium	Lawrencium	Lawrencium	Lawrencium	Lawrencium	Lárensín	Lawrencium	Lawrencium	Lawrencium	Lawrencio	Laurenci	Laurenci	Lawrêncio	Laurencio	Laurenzio	Laurenzi	Lawrenciu (mo: Lawrensiu)	Lawrenciu (mo: Lawrensiu)	Laurentsiumu	Лоуренсий	Лоуренсій	Лаўрэнсій	Lorens	Lorens	Lawrencium	Lawrencium	Lavrencij	Lawrencij	Лавренциjум	Lawrencij	Лоренсиум	"Лоуренсий, Лавренций"	Lorensis		Lārensis	Lawrenciwm	Láirinciam	Làirinciam	Lawrencium	Lawrencyum	Laorenciom	Λωρεντσιο	Lorencium	Лоуренсий	Laurentzioa	ლაურენსიუმი	Lawrencium	Lavrentsium	Laurencium	Lawrenciyum	Лоуренсий	Лоуренсий	Lourensi'	Лоуренси	ローレンシウム [roorenshiumu]	鐒	ลอร์เรนเซียม	Lorenxi	Lawrensium	لورنسيوم	Lawrenzjum	לורנציום	Lauxrencio
104	Rutherfordium	Rutherfordium	Rutherfordium	Rutherfordium	Rutherfordium	Rutherfordium	Rutherfordium	Rutherfordium	Rutherfordium	Rutherfordium	Rutherfordium	Rutherfordium	Rutherfordium	Ruterfordio	Rutherfordi	Rutherfòrdi	rutherfordio	Rutherfordio	Rutherfordio	Rutherfordi	kurciatoviu		Raderfordiumu	Курчатовий	Резерфордій	Курчатовій	Rutherford	Rutherford	Rutherfordium	Rutherfordium		Rutherfordij	Ратерфордиjум	Rutherfordij	Радерфордиум	Ръдърфордий	Ruterfordis		Ruterfārdis	Rutherffordiwm		Rutarfoirdiam	Rutherfordium	Rutherfordyum	Rutherfordiom		Raderfordium	Курчатовий		კურჩატოვიუმი	Rutherfordium	Rutherfordium			Курчатовий	Дубний	Kurchatovi'	Курчатови		鑪		Kusatovi	Ruterfordium			רותרפורדיום	Ruterfordio
105	Dubnium	Dubnium	Dubnium	Dubnium	Dubnium	Dubnium	Dubnium	Dubnium	Dubnium	Dubnium	Dubnium	Dubnium	Dubnium	Dubnio	Dubni	Dubni	dubnio	Dubnio	Dubnio		nilsboriu		Dubniumu	Нильсборий	Дубній	Нільсборый	Dubn	Dubn	Dubnium	Dubnium		Dubnij	Дубниjум	Dubnij	Дубниум	Дубний	Dubnis		Dubnis			Duibniam	Hahnium	Dubnyum			Dubnium	Нильсборий		ნილსბორიუმი	Dubnium	Dubnium			Нильсборий	Жолиотий	Nil'sbori'					Ninsbori	Hahnium			דובניום	Dubnio
106	Seaborgium	Seaborgium	Seaborgium	Seaborgium	Seaborgium	Seaborgium	Seaborgium	Seaborgium	Seaborgium	Seaborgium	Seaborgium	Seaborgium	Seaborgium	Seaborgio	Seaborgi	Seabòrgi	seaborgio	Seaborxio	Seaborgio				Siborghiumu	Сиборгий	Сіборгій		Seaborg	Seabórg	Seaborgium	Seaborgium		Seaborgij	Сиборгиjум	Seaborgij	Сиборгиум	Зеаборгий	Syborgis		Sybārgis			Seaboirgiam		Seaborgyum			Siborgium				Seaborgium	Seaborgium				Резерфордий							Seaborgium			סיבורגיום	Seborgumio
107	Bohrium	Bohrium	Bohrium	Bohrium	Bohrium	Bohrium	Bohrium	Bohrium	Bohrium	Bohrium	Bohrium	Bohrium	Bohrium	Bohrio	Bohri	Bòhri	bohrio 	Bohrio	Bohrio				Boriumu	Борий	Борій		Bohr	Bòhr	Bohrium	Bohrium		Bohrij	Бориjум	Bohrij	Бориум	Борий	Boris		Bārijan			Boiriam		Bohryum			Borium				Bohrium	Bohrium				Борий							Bohrium			בוהריום	Boriumo
108	Hassium	Hassium	Hassium	Hassium	Hassium	Hassium	Hassium	Hassium	Hassium	Hassium	Hassium	Hassium	Hassium	Hassio	Hassi	Assi	assio	Hassio	Hassio				Hasiumu	Хассий	Хасій		Has	Has	Hassium	Hassium		Hassij	Хасиjум	Hassij	Хасиум	Хасий	Hasis		Hasijan			Haisiam		Hassyum			Hasium				Hassium	Hassium				Ганий							Hassium			הסיום	Hasio
109	Meitnerium	Meitnerium	Meitnerium	Meitnerium	Meitnerium	Meitnerium	Meitnerium	Meitnerium	Meitnerium	Meitnerium	Meitnerium	Meitnerium	Meitnérium	Meitnerio	Meitneri	Meitneri	meitnerio	Meitnerio	Meitnerio				Meitneriumu	Майтнерий	Майтнерій		Meitner	Meitner	Meitnerium	Meitnerium		Meitnerij	Маjтнериjум	Meitnerij	Мајтнериум	Майтнерий	Meitneris		Meitneris			Mèitneiriam		Meytneryum			Majtnerium				Meitnerium	Meitneerium				Мейтнерий							Meitnerium			מיטנריום	Mejtnerio
